nba_id,player_name,first_name,last_name,season,season_label,team,lebron_team_string,position,games_played,minutes_played,team_mpg,lebron_mpg,lebron,o_lebron,d_lebron,war,off_role,def_role,team_wins,team_losses,team_win_pct,is_multi_team,team_count,name_match_key,name_match_status,basketball_reference_name,data_source,source_url
203952,Andrew Wiggins,Andrew,Wiggins,2026,2025-26,MIA,MIA,SF,68,2063,30.338,30.331,0.409,-0.561,0.97,3.709,Shot Creator,Wing Stopper,43,39,0.524,false,1,andrew wiggins,exact_name,Andrew Wiggins,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/MIA/2026.html
203954,Joel Embiid,Joel,Embiid,2026,2025-26,PHI,PHI,C,38,1201,31.605,31.593,1.736,2.452,-0.716,3.154,Shot Creator,Anchor Big,45,37,0.549,false,1,joel embiid,exact_name,Joel Embiid,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/PHI/2026.html
203991,Clint Capela,Clint,Capela,2026,2025-26,HOU,HOU,C,75,926,12.347,12.338,-0.302,-1.218,0.916,1.251,Roll + Cut Big,Mobile Big,52,30,0.634,false,1,clint capela,exact_name,Clint Capela,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/HOU/2026.html
203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,2026,2025-26,LAC,LAC,SG,23,452,19.652,19.65,-1.799,-0.957,-0.842,0.188,Secondary Ball Handler,Chaser,42,40,0.512,false,1,bogdan bogdanovic,exact_name,Bogdan Bogdanovic,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/LAC/2026.html
203994,Jusuf Nurkic,Jusuf,Nurkic,2026,2025-26,UTA,UTA,C,41,1083,26.415,26.415,0.864,-1.157,2.021,2.257,Roll + Cut Big,Mobile Big,22,60,0.268,false,1,jusuf nurkic,exact_name,Jusuf Nurkic,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/UTA/2026.html
203999,Nikola Jokic,Nikola,Jokic,2026,2025-26,DEN,DEN,C,65,2265,34.846,34.842,7.367,6.247,1.12,13.33,Shot Creator,Anchor Big,54,28,0.659,false,1,nikola jokic,exact_name,Nikola Jokic,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/DEN/2026.html
204001,Kristaps Porzingis,Kristaps,Porzingis,2026,2025-26,ATL,ATL/GSW,C,17,413,24.294,24.024,2.679,2.174,0.505,2.467,Versatile Big,Mobile Big,46,36,0.561,true,2,kristaps porzingis,exact_name,Kristaps Porzingis,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/ATL/2026.html
204001,Kristaps Porzingis,Kristaps,Porzingis,2026,2025-26,GSW,ATL/GSW,C,15,356,23.733,24.024,2.679,2.174,0.505,2.467,Versatile Big,Mobile Big,37,45,0.451,true,2,kristaps porzingis,exact_name,Kristaps Porzingis,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/GSW/2026.html
204456,T.J. Mcconnell,T.J.,Mcconnell,2026,2025-26,IND,IND,PG,56,963,17.196,17.186,0.168,0.302,-0.135,1.585,Slasher,Chaser,19,63,0.232,false,1,t j mcconnell,exact_name,T.J. Mcconnell,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/IND/2026.html
1626145,Tyus Jones,Tyus,Jones,2026,2025-26,ORL,ORL/DAL/DEN,PG,48,754,15.708,14.602,-0.85,-0.443,-0.407,0.987,Primary Ball Handler,Point of Attack,45,37,0.549,true,3,tyus jones,exact_name,Tyus Jones,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/ORL/2026.html
